RegionCode,CountryCode,Year,Population
EU,BLR,2008,9527985
EU,BLR,2009,9504583
EU,BLR,2010,9483836
EU,BLR,2011,9461643
EU,BLR,2013,9443211
EU,BLR,2014,9448515
EU,BEL,1990,
EU,BEL,1991,10004486
EU,BEL,1992,10045158
EU,BEL,1993,10084475
EU,BEL,1994,10115603
EU,BEL,1995,10136811
EU,BEL,1996,10156637
EU,BEL,1997,10181245
EU,BEL,1998,10203008
EU,BEL,1999,10226419
EU,BEL,2000,10251250
EU,BEL,2001,10286570
EU,BEL,2002,10332785
EU,BEL,2003,10376133
EU,BEL,2004,10421137
EU,BEL,2005,10478617
EU,BEL,2006,10547958
EU,BEL,2007,10625700
EU,BEL,2008,10709973
EU,BEL,2009,10796493
EU,BEL,2010,10895586
EU,BEL,2011,11038264
EU,BEL,2012,11106932
EU,BEL,2013,11159407
EU,BEL,2014,11209057
CSA,BLZ,1990,
CSA,BLZ,1991,186462
CSA,BLZ,1993,194177
CSA,BLZ,1994,198416
CSA,BLZ,1995,203556
CSA,BLZ,1996,209840
CSA,BLZ,1997,217117
CSA,BLZ,1998,224907
CSA,BLZ,1999,232733
CSA,BLZ,2000,240406
CSA,BLZ,2001,248100
CSA,BLZ,2002,255987
CSA,BLZ,2003,263998
CSA,BLZ,2004,272128
CSA,BLZ,2005,280375
CSA,BLZ,2006,288729
CSA,BLZ,2007,297173
CSA,BLZ,2008,305671
CSA,BLZ,2009,314171
CSA,BLZ,2010,322106
CSA,BLZ,2011,329538
CSA,BLZ,2012,337059
CSA,BLZ,2013,344688
CSA,BLZ,2014,352335
EU,BIH,1990,
EU,BIH,1991,4502386
EU,BIH,2014,3571068
CSA,BRA,1990,
CSA,BRA,1991,153336445
CSA,BRA,1992,155900790
CSA,BRA,1993,158440875
CSA,BRA,1994,160980472
CSA,BRA,1995,163515328
CSA,BRA,1996,166037122
CSA,BRA,1997,168546707
CSA,BRA,1998,171039804
CSA,BRA,1999,173486281
CSA,BRA,2000,175873720
CSA,BRA,2001,178211881
CSA,BRA,2002,180476685
CSA,BRA,2003,182629278
CSA,BRA,2004,184722043
CSA,BRA,2005,186797334
CSA,BRA,2006,188820682
CSA,BRA,2007,190779453
CSA,BRA,2008,192672317
CSA,BRA,2009,194517549
CSA,BRA,2010,196353492
CSA,BRA,2011,198185302
CSA,BRA,2012,199977707
CSA,BRA,2013,201721767
CSA,BRA,2014,203459650
AS,BRN,1996,306196
AS,BRN,1997,313215
AS,BRN,1998,320152
AS,BRN,1999,327045
AS,BRN,2000,333926
AS,BRN,2001,340748
AS,BRN,2002,347463
AS,BRN,2003,354045
AS,BRN,2004,360461
AS,BRN,2005,366717
AS,BRN,2006,372808
AS,BRN,2007,378748
AS,BRN,2008,384568
AS,BRN,2009,390311
AS,BRN,2010,396053
AS,BRN,2011,401506
AS,BRN,2012,406634
AS,BRN,2013,411702
AS,BRN,2014,416656
EU,BGR,1990,
EU,BGR,1991,8632367
EU,BGR,1992,8540164
EU,BGR,1993,8472313
EU,BGR,1994,8443591
EU,BGR,1995,8406067
EU,BGR,1996,8362826
EU,BGR,1997,8312068
EU,BGR,1998,8256786
EU,BGR,1999,8210624
EU,BGR,2000,8170172
EU,BGR,2001,8009142
EU,BGR,2002,7837161
EU,BGR,2003,7775327
EU,BGR,2004,7716860
EU,BGR,2005,7658972
EU,BGR,2006,7601022
EU,BGR,2007,7545338
EU,BGR,2008,7492561
EU,BGR,2009,7444443
EU,BGR,2010,7395599
EU,BGR,2011,7348328
EU,BGR,2012,7305888
EU,BGR,2013,7265115
EU,BGR,2014,7223938
AF,CPV,2011,527521
NAC,CAN,1990,
NAC,CAN,1991,28037420
NAC,CAN,1992,28371264
NAC,CAN,1993,28684764
NAC,CAN,1994,29000663
NAC,CAN,1995,29302311
NAC,CAN,1996,29610218
NAC,CAN,1997,29905948
NAC,CAN,1998,30155173
NAC,CAN,1999,30401286
NAC,CAN,2000,30685730
NAC,CAN,2001,31020902
NAC,CAN,2002,31360079
NAC,CAN,2003,31644028
NAC,CAN,2004,31940655
NAC,CAN,2005,32243753
NAC,CAN,2006,32571174
NAC,CAN,2007,32889025
NAC,CAN,2008,33247118
NAC,CAN,2009,33628895
NAC,CAN,2010,34004889
NAC,CAN,2011,34339328
NAC,CAN,2012,34714222
NAC,CAN,2013,35082954
NAC,CAN,2014,35437435
CSA,CHL,1990,
CSA,CHL,1991,13561945
CSA,CHL,1992,13782297
CSA,CHL,1993,13998386
CSA,CHL,1994,14210674
CSA,CHL,1995,14416796
CSA,CHL,1996,14615483
CSA,CHL,1997,14809289
CSA,CHL,1998,14996742
CSA,CHL,1999,15176410
CSA,CHL,2000,15351799
CSA,CHL,2001,15523978
CSA,CHL,2002,15693790
CSA,CHL,2003,15859112
CSA,CHL,2004,16017966
CSA,CHL,2005,16175311
CSA,CHL,2006,16334575
CSA,CHL,2007,16495538
CSA,CHL,2008,16661462
CSA,CHL,2009,16833447
CSA,CHL,2010,17004162
CSA,CHL,2011,17173573
CSA,CHL,2012,17341771
CSA,CHL,2013,17509925
CSA,CHL,2014,17687108
CSA,COL,1990,
CSA,COL,1991,33272628
CSA,COL,1992,33939039
CSA,COL,1993,34614735
CSA,COL,1994,35295461
CSA,COL,1995,35970101
CSA,COL,1996,36632573
CSA,COL,1997,37291946
CSA,COL,1998,37944414
CSA,COL,1999,38585033
CSA,COL,2000,39215135
CSA,COL,2001,39837875
CSA,COL,2002,40454050
CSA,COL,2003,41057687
CSA,COL,2004,41648268
CSA,COL,2005,42220940
CSA,COL,2006,42772910
CSA,COL,2007,43306582
CSA,COL,2008,43815313
